,0
gsm_a_ie_mobileid_type_value,0.6012538152962419
gsm_a_dtap_text_string_unmaskedvalue,0.5617042022384182
nas-eps_emm_detach_req_ul_show,0.5590459747808687
nas-eps_emm_mme_grp_id_show,0.5518165989253281
nas-eps_emm_detach_type_ul_show,0.5468457412306376
nas-eps_emm_nas_key_set_id_unmaskedvalue,0.5435174622237255
nas-eps_emm_nas_key_set_id_show,0.5422830854689797
nas-eps_emm_eps_upip_size,0.5228463325659938
e212_gummei_mnc_value,0.5155284547957399
gsm_a_common_elem_id_size,0.513855036933855
nas-eps_emm_odd_even_value,0.5132163081531771
nas-eps_emm_odd_even_unmaskedvalue,0.5075467247184218
nas-eps_emm_eea3_show,0.5047730355883617
gsm_a_L3_protocol_discriminator_value,0.48378295086000644
gsm_a_ie_mobileid_type_size,0.46948792294917974
nested_field3_unmaskedvalue,0.44937220192293736
e212_gummei_mcc_value,0.44857433024903015
gsm_a_extension_size,0.44298801240457575
nas-eps_emm_eia0_unmaskedvalue,0.43759936739190763
nas-eps_emm_type_of_id_show,0.43616371339437654
_show,0.43278471073095837
nas-eps_emm_nas_key_set_id_size,0.4324191965075932
nas-eps_emm_toi_size,0.4322685069624206
nas-eps_emm_active_flg_size,0.43142960997461355
nas-eps_emm_eia6_show,0.42670322623026946
3gpp_tmsi_unmaskedvalue,0.42656720357638234
nas-eps_emm_128eia2_show,0.42016528622248694
gsm_a_id_dig_1_value,0.41646522004245856
nas-eps_emm_eea5_size,0.41593999232432033
gsm_a_L3_protocol_discriminator_size,0.4037952286087396
nas-eps_emm_m_tmsi_show,0.4037417300061392
nas-eps_emm_elem_id_show,0.40207608291237307
nas-eps_emm_eea3_value,0.39985075830349226
nas-eps_emm_active_flg_value,0.39195262086526883
nas-eps_security_header_type_show,0.3869593374571787
nested_field2_show,0.3798830541140239
e212_tai_mnc_value,0.37865123230300135
gsm_a_oddevenind_value,0.3760498637274021
gsm_a_common_elem_id_value,0.37221821404647404
nas-eps_emm_128eea2_unmaskedvalue,0.3686829159940084
_ws_expert_unmaskedvalue,0.3681757480092327
gsm_a_dtap_time_zone_time_value,0.367853029448006
nas-eps_emm_switch_off_size,0.36543777229583796
nas-eps_emm_128eea1_show,0.3603500507625865
nas-eps_seq_no_value,0.3580902797883585
gsm_a_len_show,0.3577928140465776
gsm_a_dtap_elem_id_show,0.3549982458250507
nas-eps_emm_eia3_size,0.3537764063373361
nas-eps_emm_eps_upip_show,0.35344789466642546
nas-eps_emm_toi_unmaskedvalue,0.35320144016966637
nas-eps_emm_eia4_unmaskedvalue,0.35312236305626277
nas-eps_emm_128eia2_unmaskedvalue,0.3496229027793425
gsm_a_gm_gmm_tmsi_flag_unmaskedvalue,0.3494997556963648
nas-eps_emm_tai_tol_unmaskedvalue,0.3479000565353667
nested_field5_show,0.34469351755020705
nested_field1_show,0.33939239624149486
nas-eps_emm_eia0_show,0.33715546976599997
nas-eps_emm_tai_tac_size,0.33481420428569253
nas-eps_msg_auth_code_show,0.3345216738727128
nas-eps_emm_eia6_value,0.3247716491302346
nas-eps_emm_eea6_size,0.3241343452825758
nas-eps_emm_active_flg_show,0.31767137920900623
nas-eps_emm_eia5_show,0.31659511705154264
nas-eps_emm_update_type_value_value,0.3164404579145712
nas-eps_emm_128eia1_unmaskedvalue,0.31363362390479965
gsm_a_spare_bits_unmaskedvalue,0.31128058565200867
nested_field1_value,0.31015353693032877
_ws_expert_show,0.3091213417006209
nas-eps_emm_EPS_attach_result_show,0.3079695721809128
nas-eps_spare_bits_value,0.30521421127229686
gsm_a_unused_size,0.30418611362457026
nas-eps_emm_eia3_value,0.3015332591501534
nas-eps_emm_eea0_show,0.2999515791109548
nas-eps_emm_id_type2_unmaskedvalue,0.2853669924109594
nas-eps_emm_tai_n_elem_show,0.2814142681121732
nas-eps_emm_elem_id_unmaskedvalue,0.2807057014597949
nas-eps_common_elem_id_size,0.27964305246514076
nas-eps_emm_tai_tol_value,0.2715096190450623
nas-eps_emm_cause_value,0.27047045061221775
nas-eps_emm_tai_tol_show,0.2665101405854453
nas-eps_emm_switch_off_show,0.2660812078342558
gsm_a_extension_value,0.2650794724220882
nas-eps_seq_no_size,0.264051071044491
gsm_a_gm_gmm_tmsi_flag_value,0.2634891550151699
nas-eps_emm_switch_off_unmaskedvalue,0.2616686885834918
nested_field3_value,0.259491604554948
e212_gummei_mnc_unmaskedvalue,0.2558476123658888
e212_imsi_unmaskedvalue,0.2555634907927242
nas-eps_emm_eia5_size,0.25459561564619637
nas-eps_emm_m_tmsi_value,0.2493076960145344
gsm_a_len_size,0.24775383522390682
nas-eps_emm_tsc_value,0.24258931943209783
nas-eps_emm_eea4_show,0.24123420998733547
gsm_a_dtap_elem_id_size,0.23972140660541097
nested_field2_unmaskedvalue,0.238698894782587
nas-eps_emm_eia4_size,0.2324825832666635
nas-eps_emm_elem_id_value,0.23034173344272446
nas-eps_emm_eia5_unmaskedvalue,0.2291033087684342
e212_gummei_mcc_size,0.22737740617474156
nas-eps_nas_msg_emm_type_value,0.22729075628335726
gsm_a_dtap_text_string_show,0.22616691190054805
nas-eps_emm_spare_half_octet_value,0.2236666971085599
nas-eps_emm_res_value,0.22042058531857878
nested_field1_unmaskedvalue,0.21609927164865717
gsm_a_spare_bits_show,0.21540740875252462
gsm_a_imeisv_size,0.21489248075355016
nas-eps_emm_128eea1_unmaskedvalue,0.214032645400283
nas-eps_emm_switch_off_value,0.2130535798180735
nas-eps_emm_spare_half_octet_size,0.210199417621161
nas-eps_emm_eps_att_type_value,0.20976973378788122
gsm_a_dtap_elem_id_unmaskedvalue,0.2094056455684803
e212_tai_mnc_size,0.20886330220325933
nas-eps_emm_128eia2_size,0.2071188269658535
nas-eps_emm_128eia1_value,0.20665029104719457
nas-eps_emm_esm_msg_cont_unmaskedvalue,0.20657252254318603
nas-eps_emm_mme_grp_id_unmaskedvalue,0.20448250650795696
nas-eps_emm_eea7_size,0.2030495679269526
nas-eps_emm_eia5_value,0.19920092835876702
nas-eps_emm_odd_even_show,0.19697899545097908
nested_field4_value,0.19427855753885126
e212_assoc_imsi_value,0.194236904811949
gsm_a_dtap_autn_value,0.19279542777992864
nas-eps_emm_ebi9_value,0.19236155288890888
nas-eps_msg_auth_code_size,0.19224362762380487
nas-eps_emm_hash_mme_value,0.18984814281875018
gsm_a_spare_bits_size,0.18940072653217355
nas-eps_emm_ebi5_unmaskedvalue,0.1885065745580965
e212_tai_mnc_unmaskedvalue,0.18643586520543387
nested_field6_show,0.18399276889945915
nas-eps_emm_eea4_value,0.18377780735446647
nas-eps_emm_tai_tac_value,0.1832498544091563
nas-eps_emm_eea4_size,0.18263007834039469
nas-eps_emm_128eea1_value,0.1808190505020999
_size,0.18076654088945565
nas-eps_emm_esm_msg_cont_value,0.1801549491840686
nas-eps_emm_eps_update_result_value_value,0.1797387810760931
gsm_a_dtap_coding_scheme_show,0.17963290466239012
e212_gummei_mcc_unmaskedvalue,0.1784587616109672
nas-eps_emm_spare_half_octet_unmaskedvalue,0.17744104286803353
gsm_a_L3_protocol_discriminator_show,0.17716223721499746
nas-eps_emm_restrict_ec_unmaskedvalue,0.1766795762311819
nas-eps_emm_ebi15_unmaskedvalue,0.17207507427306856
nas-eps_emm_tsc_show,0.17189768557250362
nas-eps_emm_detach_type_ul_value,0.17103151781255121
gsm_a_imeisv_value,0.17023925961072317
nas-eps_emm_update_type_value_unmaskedvalue,0.16859277579039178
nas-eps_emm_ebi12_value,0.16791618792228258
nas-eps_emm_ebi15_value,0.16697138928312016
nas-eps_emm_detach_type_ul_unmaskedvalue,0.16609897146385277
nas-eps_emm_id_type2_size,0.1659843520512867
nas-eps_emm_toi_show,0.16344108469862206
gsm_a_dtap_timezone_show,0.16333590589947278
nas-eps_emm_id_type2_show,0.1623711712166398
nas-eps_emm_eea3_size,0.16213952676950205
gsm_a_oddevenind_size,0.16054257272456063
nas-eps_emm_ebi1_unmaskedvalue,0.1603627376303569
nas-eps_emm_detach_req_ul_unmaskedvalue,0.15995247980933325
gsm_a_filler_show,0.15993935507304124
nas-eps_emm_update_type_value_size,0.15967863678776384
nas-eps_emm_mme_code_unmaskedvalue,0.1587603286504944
gsm_a_id_dig_1_size,0.15739417805467815
gsm_a_dtap_add_ci_value,0.15734638358077335
gsm_a_id_dig_1_unmaskedvalue,0.15720431232730858
nas-eps_emm_tsc_size,0.15719968239199567
nas-eps_emm_s1_u_data_unmaskedvalue,0.15649968825074634
nested_field5_unmaskedvalue,0.15567859648980376
gsm_a_filler_value,0.15439515601222986
nas-eps_emm_eps_att_type_show,0.15377241575890022
nas-eps_seq_no_unmaskedvalue,0.1530067751545392
nas-eps_emm_cause_show,0.1523800379120832
nas-eps_emm_update_type_value_show,0.15163014561549426
nas-eps_emm_type_of_id_unmaskedvalue,0.1508696027439167
gsm_a_dtap_coding_scheme_value,0.14915019483864356
nas-eps_emm_cp_ciot_value,0.14856601892483434
nas-eps_emm_ebi2_value,0.1480055784509604
e212_imsi_value,0.14759449031844651
gsm_a_imeisv_unmaskedvalue,0.14616951474639173
nas-eps_nas_msg_emm_type_size,0.14484337210737364
nas-eps_emm_epc_lcs_unmaskedvalue,0.1438853914745435
nas-eps_emm_cs_lcs_unmaskedvalue,0.14334293245929475
nas-eps_nas_msg_emm_type_unmaskedvalue,0.14208860548225255
nas-eps_emm_tsc_unmaskedvalue,0.14191348033235496
nas-eps_emm_eia3_unmaskedvalue,0.14168652843224194
nested_field4_show,0.14016363765351736
e212_imsi_show,0.14002210305533058
nas-eps_emm_toc_size,0.13683342694717737
nas-eps_emm_ebi8_value,0.1351970361557
nas-eps_emm_restrict_dcnr_unmaskedvalue,0.13417804273578948
nas-eps_emm_ebi14_value,0.13381566726585126
nas-eps_emm_mme_code_size,0.1334610010221966
nas-eps_emm_ebi3_value,0.13285230177263907
nas-eps_emm_ebi4_value,0.13239061634751614
nas-eps_emm_eps_upip_value,0.131613748490218
nas-eps_emm_guti_type_unmaskedvalue,0.1311787080532838
nas-eps_emm_emc_bs_size,0.13052262321084385
nas-eps_emm_tai_tol_size,0.1301516358524184
gsm_a_dtap_text_string_value,0.12641218220503037
gsm_a_gm_gmm_gprs_timer_value,0.12537801986137342
e212_tai_mnc_show,0.12494825819182376
gsm_a_dtap_time_zone_time_show,0.12467232863715694
nas-eps_emm_ebi3_size,0.12442742531561368
gsm_a_dtap_rand_size,0.12114421014475552
nas-eps_emm_eea0_value,0.12083420447625581
e212_tai_mcc_unmaskedvalue,0.12028993642747166
nas-eps_common_elem_id_unmaskedvalue,0.11938562894918148
nas-eps_emm_mme_grp_id_size,0.1178643702818083
nas-eps_emm_eps_update_result_value_size,0.11358154398944231
_unmaskedvalue,0.11105705398060817
gsm_a_dtap_number_of_spare_bits_unmaskedvalue,0.1097993542646023
nas-eps_emm_ebi15_show,0.10907351476848115
nas-eps_emm_cp_ciot_show,0.10827737576115348
nas-eps_emm_ebi9_show,0.10813593917724384
nas-eps_emm_tai_n_elem_value,0.10792960605968283
nested_field2_value,0.10767511864253132
nas-eps_emm_type_of_id_size,0.10569715974037575
nas-eps_emm_cause_size,0.10553515107381228
nas-eps_emm_imeisv_req_size,0.10546065921682946
gsm_a_dtap_add_ci_unmaskedvalue,0.10499686891350546
nas-eps_emm_ebi11_value,0.10310321545595258
nas-eps_emm_ims_vops_show,0.10211120249767713
gsm_a_extension_show,0.10166970765035588
nas-eps_emm_eea6_unmaskedvalue,0.09964646522033282
gsm_a_oddevenind_unmaskedvalue,0.09767318219850463
nas-eps_emm_iwkn26_value,0.09734808807751216
gsm_a_gm_gmm_gprs_timer_show,0.09580575391488821
nas-eps_seq_no_show,0.09369400423444274
nas-eps_emm_toc_show,0.09165456745104716
nas-eps_emm_er_wo_pdn_size,0.09161281859961568
nas-eps_emm_ebi14_unmaskedvalue,0.09110455753829827
nas-eps_emm_eps_att_type_size,0.09036522790125501
nas-eps_emm_s1_u_data_show,0.08942220101245857
nas-eps_emm_128eia1_size,0.0891034707816134
nas-eps_nas_msg_emm_type_show,0.0885014806025497
nas-eps_emm_guti_type_value,0.08844995013637424
nested_field1_size,0.08776122312918444
gsm_a_len_unmaskedvalue,0.08621636468873772
gsm_a_dtap_time_zone_time_size,0.08611858210881573
nas-eps_emm_tai_tac_show,0.08520645209343236
nas-eps_emm_active_flg_unmaskedvalue,0.08311932861478022
nas-eps_emm_128eea2_show,0.08288447404612098
gsm_a_dtap_time_zone_time_unmaskedvalue,0.08278982379021738
gsm_a_dtap_timezone_value,0.08229102405897892
gsm_a_dtap_number_of_spare_bits_size,0.08140667900699405
gsm_a_dtap_dst_adjustment_value,0.08121234965208401
nested_field5_size,0.08014891645105049
nas-eps_emm_imeisv_req_unmaskedvalue,0.07981633500609453
nested_field4_unmaskedvalue,0.07976594723890384
nas-eps_emm_hc_cp_ciot_show,0.07949010129140444
nas-eps_emm_esr_ps_unmaskedvalue,0.07870327651443443
nas-eps_emm_cp_ciot_size,0.07764086370579015
gsm_a_gm_gmm_gprs_timer_unmaskedvalue,0.07718270524773763
nested_field3_size,0.07679390153679755
gsm_a_id_dig_1_show,0.07668360866480217
nas-eps_emm_128eea2_size,0.07619767104328057
gsm_a_dtap_dst_adjustment_unmaskedvalue,0.07593471800597618
gsm_a_dtap_timezone_size,0.07546900584968119
gsm_a_unused_show,0.07427189089801844
nas-eps_emm_ebi6_show,0.07162681119632319
nas-eps_emm_eia4_value,0.07151729218380964
gsm_a_imeisv_show,0.0714052805049663
gsm_a_dtap_timezone_unmaskedvalue,0.07123391931463052
nas-eps_emm_restrict_dcnr_show,0.06958727942808896
nas-eps_emm_ebi14_size,0.06840002307344184
nas-eps_emm_esr_ps_value,0.06789997699195682
gsm_a_dtap_dst_adjustment_show,0.06737261340524636
nas-eps_emm_tai_n_elem_unmaskedvalue,0.06658386074116684
nas-eps_emm_hc_cp_ciot_size,0.0658339147182394
gsm_a_dtap_text_string_size,0.06482440943764711
nas-eps_emm_epc_lcs_show,0.06428508675013811
nas-eps_emm_imeisv_req_show,0.06394644357190149
nas-eps_emm_restrict_ec_show,0.0634853456202702
nas-eps_emm_eps_update_result_value_show,0.06299421815021056
nas-eps_emm_ebi6_unmaskedvalue,0.0626176986479825
nas-eps_emm_ebi5_value,0.0622269723267479
nas-eps_emm_type_of_id_value,0.061352776204166126
nas-eps_emm_epco_show,0.06035063637482585
nas-eps_emm_emc_bs_value,0.05840769736925244
gsm_a_L3_protocol_discriminator_unmaskedvalue,0.05817657480757843
gsm_a_gm_gmm_gprs_timer_size,0.057609684137748474
nas-eps_emm_EPS_attach_result_unmaskedvalue,0.05749438222657144
e212_assoc_imsi_show,0.05510197376244097
nas-eps_emm_eea7_unmaskedvalue,0.05405078886059167
nas-eps_emm_ebi10_size,0.053953812090210995
nas-eps_emm_15_bearers_show,0.053116310019995616
nas-eps_emm_up_ciot_unmaskedvalue,0.05097105564160698
nas-eps_spare_bits_show,0.050573434667796846
nas-eps_emm_ebi0_value,0.049845281139807796
_ws_expert_size,0.04936422617864622
nas-eps_emm_epco_unmaskedvalue,0.048451454412478334
gsm_a_dtap_coding_scheme_size,0.04784228967748927
nas-eps_emm_ebi1_show,0.04711785957679249
nas-eps_emm_toi_value,0.0469105887877701
gsm_a_dtap_add_ci_size,0.045818050990809045
gsm_a_oddevenind_show,0.04462009254124011
nas-eps_emm_up_ciot_show,0.04406299020240967
nas-eps_emm_nas_key_set_id_value,0.04383904479730916
nas-eps_emm_eia4_show,0.043591636052661364
nas-eps_emm_iwkn26_unmaskedvalue,0.043544630870209655
nested_field2_size,0.04269950358839392
nas-eps_emm_cs_lcs_size,0.04225559311104288
e212_tai_mcc_size,0.04204431802194142
gsm_a_dtap_rand_show,0.04182831102232587
nas-eps_emm_hc_cp_ciot_value,0.0415053676981163
nas-eps_emm_esr_ps_show,0.041109493921984264
nas-eps_emm_s1_u_data_value,0.04105077504451682
nas-eps_emm_iwkn26_show,0.04102137595517519
nas-eps_emm_eea4_unmaskedvalue,0.04084842398896882
nas-eps_emm_toc_value,0.04060647114241345
e212_gummei_mcc_show,0.04022044857658713
nas-eps_emm_eea7_value,0.03861598123642107
nas-eps_emm_eea5_unmaskedvalue,0.03852462878868623
nas-eps_emm_128eea1_size,0.03825437685742461
nas-eps_emm_tai_n_elem_size,0.03715199444626327
nas-eps_emm_epc_lcs_value,0.033351304100343704
nas-eps_emm_ebi13_value,0.03204599986186718
nas-eps_emm_ebi10_unmaskedvalue,0.03189452125238512
nas-eps_msg_auth_code_unmaskedvalue,0.03187356688177134
nas-eps_emm_res_size,0.030916753006248854
nas-eps_emm_ebi12_size,0.030908891574608077
nas-eps_emm_cs_lcs_show,0.030819002725180678
nas-eps_emm_EPS_attach_result_size,0.030609230849797164
gsm_a_dtap_number_of_spare_bits_value,0.03024677396577724
nas-eps_emm_ebi5_show,0.029693143765417318
nas-eps_emm_mme_code_show,0.028904575440669156
nas-eps_emm_epco_value,0.0288341091673332
e212_tai_mcc_show,0.028756352377791394
nas-eps_emm_eea5_show,0.028630559665124622
nas-eps_emm_cp_ciot_unmaskedvalue,0.02827967541442522
gsm_a_dtap_rand_unmaskedvalue,0.028169380753463535
gsm_a_gm_gmm_tmsi_flag_show,0.02793587924711982
gsm_a_len_value,0.02788222550455588
nas-eps_spare_bits_unmaskedvalue,0.027760067572919933
nas-eps_emm_ebi0_unmaskedvalue,0.027423558615849775
nas-eps_emm_odd_even_size,0.027121245007556638
gsm_a_common_elem_id_unmaskedvalue,0.027047041509025593
nas-eps_emm_ebi3_unmaskedvalue,0.026538481094909194
nas-eps_emm_m_tmsi_unmaskedvalue,0.02490575265823569
nas-eps_emm_ebi3_show,0.023711463435922564
nas-eps_emm_eia0_value,0.02324904195391131
nas-eps_emm_eea7_show,0.02296414426195348
nas-eps_emm_iwkn26_size,0.022872466571773664
nas-eps_emm_128eia2_value,0.0217099341446092
gsm_a_filler_size,0.021441888538855203
nas-eps_emm_up_ciot_size,0.021222187720424834
nas-eps_emm_er_wo_pdn_show,0.021135593951020937
nas-eps_emm_hash_mme_unmaskedvalue,0.02096964977060889
nas-eps_emm_eea3_unmaskedvalue,0.020867696148898496
gsm_a_unused_unmaskedvalue,0.020751124592020886
gsm_a_extension_unmaskedvalue,0.020109059865107692
nas-eps_emm_ebi15_size,0.020072235369894997
e212_tai_mcc_value,0.01969401471064236
nas-eps_emm_res_show,0.019479324415067722
nested_field6_unmaskedvalue,0.01929565501114272
nas-eps_emm_ebi6_size,0.018883392446636282
nested_field5_value,0.018871127271812504
nas-eps_emm_ebi2_size,0.01844337190860701
gsm_a_dtap_number_of_spare_bits_show,0.01824840005723649
nas-eps_emm_ebi12_show,0.018243080671742185
nas-eps_emm_restrict_ec_value,0.017779618538780184
nas-eps_emm_res_unmaskedvalue,0.017651282964878057
nas-eps_emm_ebi1_size,0.01760200763172337
nas-eps_emm_restrict_dcnr_size,0.017207076292432788
nas-eps_emm_esm_msg_cont_size,0.01712214731062689
nas-eps_emm_ims_vops_unmaskedvalue,0.016983804294810945
nas-eps_emm_elem_id_size,0.016050611059781783
_ws_expert_value,0.015962670612702734
nas-eps_emm_ebi4_show,0.01585360904463906
nas-eps_security_header_type_unmaskedvalue,0.015732452218103266
3gpp_tmsi_value,0.015695275241285334
nas-eps_emm_up_ciot_value,0.01532817928894481
nas-eps_emm_15_bearers_unmaskedvalue,0.01480479571250326
gsm_a_common_elem_id_show,0.014648843945794354
gsm_a_gm_gmm_tmsi_flag_size,0.014430114329803345
nas-eps_emm_eps_upip_unmaskedvalue,0.013865263708947584
nas-eps_emm_guti_type_size,0.013748616185985885
nas-eps_security_header_type_size,0.013350849821903044
gsm_a_dtap_coding_scheme_unmaskedvalue,0.012515980505777513
nested_field6_size,0.012160129552329924
e212_assoc_imsi_size,0.012044017255132378
nas-eps_emm_detach_req_ul_size,0.011795513055224305
nas-eps_emm_128eea2_value,0.011592161296250847
nas-eps_emm_ebi0_size,0.011035748222472996
nas-eps_emm_emc_bs_unmaskedvalue,0.010758667673586686
nas-eps_emm_id_type2_value,0.010554657440083215
nas-eps_emm_ebi6_value,0.010418701772917593
gsm_a_filler_unmaskedvalue,0.010296762832725292
nas-eps_msg_auth_code_value,0.010106182200635416
3gpp_tmsi_size,0.009511072748858762
nas-eps_emm_hash_mme_show,0.009022591951719061
nas-eps_emm_EPS_attach_result_value,0.008852945827942271
nas-eps_emm_eea0_unmaskedvalue,0.008742868791332459
nas-eps_emm_tai_tac_unmaskedvalue,0.008693352976766544
nas-eps_emm_ebi5_size,0.008050518825636566
gsm_a_dtap_dst_adjustment_size,0.007243585940603481
e212_assoc_imsi_unmaskedvalue,0.006009789896044726
nas-eps_emm_ebi13_unmaskedvalue,0.0055814003848460025
gsm_a_ie_mobileid_type_unmaskedvalue,0.005531089465444339
nas-eps_emm_restrict_ec_size,0.004994949115400438
nas-eps_emm_ebi12_unmaskedvalue,0.0044786793079163445
nas-eps_emm_eia0_size,0.004289040003871314
nas-eps_emm_s1_u_data_size,0.003440593399611558
nas-eps_emm_epco_size,0.0032519540587112594
e212_imsi_size,0.0031695967422682436
nas-eps_emm_ebi4_unmaskedvalue,0.0029242289142930034
nas-eps_emm_ebi8_show,0.002709009112902283
nas-eps_emm_ebi7_unmaskedvalue,0.002137579578723958
nas-eps_emm_128eia1_show,0.0021139802740193225
nas-eps_emm_er_wo_pdn_value,0.001971820349356168
nas-eps_emm_ebi10_show,0.0011313655736255868
nas-eps_emm_guti_type_show,0.0005217089340825432
gsm_a_spare_bits_value,0.000352561271631302
nas-eps_emm_ebi7_show,0.00030854459692530867
gsm_a_dtap_elem_id_value,0.0
gsm_a_dtap_add_ci_show,0.0
nas-eps_emm_esm_msg_cont_show,0.0
nas-eps_emm_mme_grp_id_value,0.0
nas-eps_emm_eea5_value,0.0
nas-eps_emm_m_tmsi_size,0.0
nas-eps_emm_eea6_show,0.0
nas-eps_emm_detach_type_ul_size,0.0
nested_field4_size,0.0
nas-eps_emm_eea0_size,0.0
nas-eps_emm_restrict_dcnr_value,0.0
nas-eps_common_elem_id_value,0.0
nas-eps_emm_eia6_unmaskedvalue,0.0
nas-eps_emm_spare_half_octet_show,0.0
nas-eps_emm_detach_req_ul_value,0.0
nas-eps_emm_eps_att_type_unmaskedvalue,0.0
nas-eps_emm_toc_unmaskedvalue,0.0
nas-eps_emm_ebi0_show,0.0
e212_gummei_mnc_size,0.0
nas-eps_common_elem_id_show,0.0
nas-eps_emm_ebi11_size,0.0
nas-eps_emm_eia3_show,0.0
nas-eps_emm_ebi2_unmaskedvalue,0.0
nas-eps_security_header_type_value,0.0
nas-eps_emm_ebi11_show,0.0
nas-eps_emm_mme_code_value,0.0
nas-eps_emm_ebi1_value,0.0
nas-eps_emm_ebi9_size,0.0
nas-eps_emm_epc_lcs_size,0.0
nas-eps_emm_emc_bs_show,0.0
nas-eps_emm_ims_vops_size,0.0
nas-eps_emm_ebi8_unmaskedvalue,0.0
nas-eps_emm_ebi2_show,0.0
nas-eps_emm_ebi14_show,0.0
nas-eps_emm_eps_update_result_value_unmaskedvalue,0.0
nas-eps_emm_imeisv_req_value,0.0
nas-eps_emm_ebi10_value,0.0
nas-eps_emm_15_bearers_size,0.0
nas-eps_emm_cs_lcs_value,0.0
nas-eps_emm_ebi13_show,0.0
nas-eps_emm_15_bearers_value,0.0
nas-eps_emm_ebi11_unmaskedvalue,0.0
nas-eps_emm_hc_cp_ciot_unmaskedvalue,0.0
nas-eps_emm_ims_vops_value,0.0
nas-eps_emm_ebi7_value,0.0
gsm_a_dtap_autn_size,0.0
nas-eps_emm_esr_ps_size,0.0
nas-eps_spare_bits_size,0.0
nas-eps_emm_ebi4_size,0.0
gsm_a_ie_mobileid_type_show,0.0
nas-eps_emm_eea6_value,0.0
gsm_a_unused_value,0.0
nested_field6_value,0.0
nas-eps_emm_eia6_size,0.0
gsm_a_dtap_rand_value,0.0
nas-eps_emm_ebi8_size,0.0
nas-eps_emm_ebi9_unmaskedvalue,0.0
gsm_a_dtap_autn_show,0.0
gsm_a_dtap_autn_unmaskedvalue,0.0
_value,0.0
e212_gummei_mnc_show,0.0
nested_field3_show,0.0
3gpp_tmsi_show,0.0
nas-eps_emm_er_wo_pdn_unmaskedvalue,0.0
nas-eps_emm_hash_mme_size,0.0
